"Recorded Crime Offences Under Reservation (Number) by Type of Offence,"
"Garda Station and Year"

" "," ","2017"
"03 ,Attempts/threats to murder, assaults, harassments and related offences"
" ","Donnybrook, D.M.R. South Central Division",56
" ","Irishtown, D.M.R. South Central Division",66
" ","Pearse Street, D.M.R. South Central Division",695
" ","Kevin Street, D.M.R. South Central Division",261
" ","Kilmainham, D.M.R. South Central Division",187
" ","Bridewell Dublin, D.M.R. North Central Division",169
" ","Fitzgibbon Street, D.M.R. North Central Division",131
" ","Mountjoy, D.M.R. North Central Division",209
" ","Store Street, D.M.R. North Central Division",484
" ","Balbriggan, D.M.R. Northern Division",118
" ","Garristown, D.M.R. Northern Division",7
" ","Lusk, D.M.R. Northern Division",65
" ","Skerries, D.M.R. Northern Division",28
" ","Ballymun, D.M.R. Northern Division",198
" ","Dublin Airport, D.M.R. Northern Division",17
" ","Santry, D.M.R. Northern Division",131
" ","Coolock, D.M.R. Northern Division",164
" ","Malahide, D.M.R. Northern Division",58
" ","Swords, D.M.R. Northern Division",183
" ","Clontarf, D.M.R. Northern Division",80
" ","Howth, D.M.R. Northern Division",49
" ","Raheny, D.M.R. Northern Division",66
" ","Crumlin, D.M.R. Southern Division",75
" ","Sundrive Road, D.M.R. Southern Division",85
" ","Rathfarnham, D.M.R. Southern Division",120
" ","Tallaght, D.M.R. Southern Division",355
" ","Rathmines, D.M.R. Southern Division",81
" ","Terenure, D.M.R. Southern Division",53
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",66
" ","Dundrum, D.M.R. Eastern Division",159
" ","Cabinteely, D.M.R. Eastern Division",85
" ","Dun Laoghaire, D.M.R. Eastern Division",154
" ","Shankill, D.M.R. Eastern Division",79
" ","Blanchardstown, D.M.R. Western Division",364
" ","Cabra, D.M.R. Western Division",72
" ","Finglas, D.M.R. Western Division",204
" ","Ballyfermot, D.M.R. Western Division",73
" ","Clondalkin, D.M.R. Western Division",147
" ","Rathcoole, D.M.R. Western Division",33
" ","Lucan, D.M.R. Western Division",81
" ","Ronanstown, D.M.R. Western Division",183
"04 ,Dangerous or negligent acts"
" ","Donnybrook, D.M.R. South Central Division",20
" ","Irishtown, D.M.R. South Central Division",22
" ","Pearse Street, D.M.R. South Central Division",66
" ","Kevin Street, D.M.R. South Central Division",50
" ","Kilmainham, D.M.R. South Central Division",31
" ","Bridewell Dublin, D.M.R. North Central Division",33
" ","Fitzgibbon Street, D.M.R. North Central Division",39
" ","Mountjoy, D.M.R. North Central Division",39
" ","Store Street, D.M.R. North Central Division",88
" ","Balbriggan, D.M.R. Northern Division",51
" ","Garristown, D.M.R. Northern Division",2
" ","Lusk, D.M.R. Northern Division",20
" ","Skerries, D.M.R. Northern Division",8
" ","Ballymun, D.M.R. Northern Division",44
